FlashID,PointID,I,V,T,PiraV,PiraT,,Power Curve [W],Pmpp [W],"Isc @ G1, T1 [A]","Voc @ G1, T1 [V]",,I Corrected [A],V Corrected [V],P Corrected [W],,Measured Parameters,,,,Irradiance [W/m2],TDUT [C],Voc [V],Isc [A],Pmpp [W],Vmpp [V],Impp [A],FF [%],Mod. Eff [%]
1662,80,1.516210914,16.09799957,23.79000092,0.073973298,23.20000076,,24.40796264,,,,,1.45627067,15.94871852,23.22565101,,,,,,,,,,,,,,
1662,81,1.516000032,16.125,23.79000092,0.073973298,23.20000076,,24.44550052,,,,,1.456068125,15.97571895,23.26173514,,,,,,,,,,,,,,
1662,82,1.515935898,16.15500069,23.79000092,0.073973298,23.20000076,,24.48994547,,,,,1.456006526,16.00571964,23.30443225,,,,,,,,,,,,,,
1662,83,1.515753627,16.18799973,23.79000092,0.073973298,23.20000076,,24.53701929,,,,,1.455831461,16.03871867,23.34967124,,,,,,,,,,,,,,
1662,84,1.515539169,16.22400093,23.79000092,0.073973298,23.20000076,,24.58810889,,,,,1.455625482,16.07471988,23.39877187,,,,,,,,,,,,,,
1662,85,1.51515758,16.25799942,23.79000092,0.073973298,23.20000076,,24.63343106,,,,,1.455258978,16.10871837,23.44235703,,,,,,,,,,,,,,
1662,86,1.514799953,16.28899956,23.79000092,0.073973298,23.20000076,,24.67457576,,,,,1.454915488,16.13971851,23.48192643,,,,,,,,,,,,,,
1662,87,1.514869571,16.31500053,23.79000092,0.073973298,23.20000076,,24.71509785,,,,,1.454982354,16.16571948,23.52083659,,,,,,,,,,,,,,
1662,88,1.514852405,16.34600067,23.79000092,0.073973298,23.20000076,,24.76177842,,,,,1.454965867,16.19671962,23.5656742,,,,,,,,,,,,,,
1662,89,1.514799953,16.39599991,23.79000092,0.073973298,23.20000076,,24.83665988,,,,,1.454915488,16.24671886,23.6376029,,,,,,,,,,,,,,
1662,90,1.514669776,16.43899918,23.79000092,0.073973298,23.20000076,,24.8996552,,,,,1.454790458,16.28971813,23.69812649,,,,,,,,,,,,,,
1662,91,1.51437366,16.47999954,23.79000092,0.073973298,23.20000076,,24.95687722,,,,,1.454506048,16.33071849,23.75312882,,,,,,,,,,,,,,
1662,92,1.514099956,16.51600075,23.79000092,0.073973298,23.20000076,,25.006876,,,,,1.454243164,16.3667197,23.80119024,,,,,,,,,,,,,,
1662,93,1.51290834,16.61199951,23.79000092,0.073973298,23.20000076,,25.1324326,,,,,1.453098656,16.46271846,23.92195407,,,,,,,,,,,,,,
1662,94,1.512400031,16.65099907,23.79000092,0.073973298,23.20000076,,25.18297151,,,,,1.452610443,16.50171802,23.97056792,,,,,,,,,,,,,,
1662,95,1.512136936,16.68000031,23.79000092,0.073973298,23.20000076,,25.22244456,,,,,1.452357749,16.53071925,24.0085182,,,,,,,,,,,,,,
1662,96,1.51183331,16.70899963,23.79000092,0.073973298,23.20000076,,25.26122223,,,,,1.452066126,16.55971858,24.04580641,,,,,,,,,,,,,,
